Площадь,Спальни,Ванные комнаты,Год постройки,Расстояние до школы ,Расстояние до супермаркета ,Бассейн ,Гараж,Стоимость
150,3,2,1998,500,300,0,1,250000
200,4,3,2005,800,500,1,2,350000
120,2,1,1970,300,200,0,0,180000
180,3,2,1995,600,400,1,1,280000
220,4,3,2010,1000,700,1,2,410000
130,2,1,1985,400,250,0,1,200000
250,4,3,2008,900,600,1,2,380000
160,3,2,2000,550,350,0,1,260000
190,3,2,1997,650,450,1,2,320000
140,2,1,1982,350,300,0,1,190000
230,4,3,2015,1200,800,1,3,450000
170,3,2,1999,600,400,0,1,270000
260,4,3,2012,1100,750,1,2,400000
110,2,1,1978,250,150,0,0,170000
200,3,2,2004,700,500,0,2,310000
180,3,2,1996,550,350,0,1,240000
150,2,1,1989,400,300,0,1,200000
240,4,3,2011,950,650,1,2,380000
130,2,1,1980,300,200,0,1,190000
170,3,2,1994,500,400,0,1,260000